Date,Open,High,Low,Close,Volume
29/12/21,17220.1,17285.95,17176.65,17213.6,161679423
28/12/21,17177.6,17250.25,17161.15,17233.25,176026100
27/12/21,16937.75,17112.05,16833.2,17086.25,144777457
24/12/21,17149.5,17155.6,16909.6,17003.75,182564833
23/12/21,17066.8,17118.65,17015.55,17072.6,196965302
22/12/21,16865.55,16971,16819.5,16955.45,207946105
21/12/21,16773.15,16936.4,16688.25,16770.85,241030834
20/12/21,16824.25,16840.1,16410.2,16614.2,330614079
17/12/21,17276,17298.15,16966.45,16985.2,354591366
16/12/21,17373,17379.35,17184.95,17248.4,219496063
15/12/21,17323.65,17351.2,17192.2,17221.4,214972109
14/12/21,17283.2,17376.2,17225.8,17324.9,270965586
13/12/21,17619.1,17639.5,17355.95,17368.25,256560534
10/12/21,17476.05,17534.35,17405.25,17511.3,204467484
09/12/21,17524.4,17543.25,17379.6,17516.85,237170272
08/12/21,17315.25,17484.6,17308.95,17469.75,257791948
07/12/21,17044.1,17251.65,16987.75,17176.7,254144221
06/12/21,17209.05,17216.75,16891.7,16912.25,231716681
03/12/21,17424.9,17489.8,17180.8,17196.7,292526485
02/12/21,17183.2,17420.35,17149.3,17401.65,279867500
01/12/21,17104.4,17213.05,17064.25,17166.9,295542125
30/11/21,17051.15,17324.65,16931.4,16983.2,497999836
29/11/21,17055.8,17160.7,16782.4,17053.95,348888750
26/11/21,17338.75,17355.4,16985.7,17026.45,356330009
25/11/21,17417.3,17564.35,17351.7,17536.25,255947032
24/11/21,17550.05,17600.6,17354,17415.05,298052158
23/11/21,17281.75,17553.7,17216.1,17503.35,308843255
22/11/21,17796.25,17805.25,17280.45,17416.55,356400425
18/11/21,17890.55,17945.6,17688.5,17764.8,278425148
17/11/21,17939.35,18022.65,17879.25,17898.65,295715938
16/11/21,18127.05,18132.65,17958.8,17999.2,267431829
15/11/21,18140.95,18210.15,18071.3,18109.45,280428633
12/11/21,17977.6,18123,17905.9,18102.75,249111898
11/11/21,17967.45,17971.35,17798.2,17873.6,232121151
10/11/21,17973.45,18061.25,17915,18017.2,261446523
09/11/21,18084.35,18112.6,17983.05,18044.25,270197527
08/11/21,18040.2,18087.8,17836.1,18068.55,338919483
04/11/21,17935.05,17947.55,17900.6,17916.8,48515006
03/11/21,17947.95,17988.75,17757.95,17829.2,330995982
02/11/21,17970.9,18012.25,17847.6,17888.95,296441997
01/11/21,17783.15,17954.1,17697.1,17929.65,281190130
29/10/21,17833.05,17915.85,17613.1,17671.65,336466864
28/10/21,18187.65,18190.7,17799.45,17857.25,374205784
27/10/21,18295.85,18342.05,18167.9,18210.95,335248487
26/10/21,18154.5,18310.45,18099.3,18268.4,341377869
25/10/21,18229.5,18241.4,17968.5,18125.4,418703647
22/10/21,18230.7,18314.25,18034.35,18114.9,324748084
21/10/21,18382.7,18384.2,18048,18178.1,365902008
20/10/21,18439.9,18458.3,18209.35,18266.6,371276478
19/10/21,18602.35,18604.45,18377.7,18418.75,368230309
18/10/21,18500.1,18543.15,18445.3,18477.05,469883515
14/10/21,18272.85,18350.75,18248.7,18338.55,538714440
13/10/21,18097.85,18197.8,18050.75,18161.75,506679748
12/10/21,17915.8,18008.65,17864.95,17991.95,355568313
11/10/21,17867.55,18041.95,17839.1,17945.95,375756457
08/10/21,17886.85,17941.85,17840.35,17895.2,324066351
07/10/21,17810.55,17857.55,17763.8,17790.35,419890959
06/10/21,17861.5,17884.6,17613.15,17646,395833550
05/10/21,17661.35,17833.45,17640.9,17822.3,427000191
04/10/21,17615.55,17750.9,17581.35,17691.25,295761839
01/10/21,17531.9,17557.15,17452.9,17532.05,305763919
30/09/21,17718.9,17742.15,17585.35,17618.15,378592721
29/09/21,17657.95,17781.75,17608.15,17711.3,562237732
28/09/21,17906.45,17912.85,17576.1,17748.6,397997281
27/09/21,17932.2,17943.5,17802.9,17855.1,295714657
24/09/21,17897.45,17947.65,17819.4,17853.2,360130853
23/09/21,17670.85,17843.9,17646.55,17822.95,320514486
22/09/21,17580.9,17610.45,17524,17546.65,295191136
21/09/21,17450.5,17578.35,17326.1,17562,363578479
20/09/21,17443.85,17622.75,17361.8,17396.9,339102046
17/09/21,17709.65,17792.95,17537.65,17585.15,508285916
16/09/21,17539.2,17644.6,17510.45,17629.5,503310763
15/09/21,17387.65,17532.7,17386.9,17519.45,388191629
14/09/21,17420.35,17438.55,17367.05,17380,230354386
13/09/21,17363.55,17378.35,17269.15,17355.3,241053924
09/09/21,17312.85,17379.65,17302.7,17369.25,241509352
08/09/21,17375.75,17383.4,17254.2,17353.5,252652423
07/09/21,17401.55,17436.5,17287,17362.1,243417811
06/09/21,17399.35,17429.55,17345.55,17377.8,228045532
03/09/21,17262.45,17340.1,17212.2,17323.6,261373795
02/09/21,17095.4,17245.5,17059.7,17234.15,242377518
01/09/21,17185.6,17225.75,17055.05,17076.25,301894634
31/08/21,16947.5,17153.5,16915.85,17132.2,464390247
