Date,Open,High,Low,Close,Volume
29-Dec-21,17220.1,17285.95,17176.65,17213.6,161679423
28-Dec-21,17177.6,17250.25,17161.15,17233.25,161679423
27-Dec-21,16937.75,17112.05,16833.2,17086.25,161679423
24-Dec-21,17149.5,17155.6,16909.6,17003.75,161679423
23-Dec-21,17066.8,17118.65,17015.55,17072.6,161679423
22-Dec-21,16865.55,16971,16819.5,16955.45,161679423
21-Dec-21,16773.15,16936.4,16688.25,16770.85,161679423
20-Dec-21,16824.25,16840.1,16410.2,16614.2,161679423
17-Dec-21,17276,17298.15,16966.45,16985.2,161679423
16-Dec-21,17373,17379.35,17184.95,17248.4,161679423
15-Dec-21,17323.65,17351.2,17192.2,17221.4,161679423
14-Dec-21,17283.2,17376.2,17225.8,17324.9,161679423
13-Dec-21,17619.1,17639.5,17355.95,17368.25,161679423
10-Dec-21,17476.05,17534.35,17405.25,17511.3,161679423
09-Dec-21,17524.4,17543.25,17379.6,17516.85,161679423
08-Dec-21,17315.25,17484.6,17308.95,17469.75,161679423
07-Dec-21,17044.1,17251.65,16987.75,17176.7,161679423
06-Dec-21,17209.05,17216.75,16891.7,16912.25,161679423
03-Dec-21,17424.9,17489.8,17180.8,17196.7,161679423
02-Dec-21,17183.2,17420.35,17149.3,17401.65,161679423
01-Dec-21,17104.4,17213.05,17064.25,17166.9,161679423
30-Nov-21,17051.15,17324.65,16931.4,16983.2,161679423
29-Nov-21,17055.8,17160.7,16782.4,17053.95,161679423
26-Nov-21,17338.75,17355.4,16985.7,17026.45,161679423
25-Nov-21,17417.3,17564.35,17351.7,17536.25,161679423
24-Nov-21,17550.05,17600.6,17354,17415.05,161679423
23-Nov-21,17281.75,17553.7,17216.1,17503.35,161679423
22-Nov-21,17796.25,17805.25,17280.45,17416.55,161679423
18-Nov-21,17890.55,17945.6,17688.5,17764.8,161679423
17-Nov-21,17939.35,18022.65,17879.25,17898.65,161679423
16-Nov-21,18127.05,18132.65,17958.8,17999.2,161679423
15-Nov-21,18140.95,18210.15,18071.3,18109.45,161679423
12-Nov-21,17977.6,18123,17905.9,18102.75,161679423
11-Nov-21,17967.45,17971.35,17798.2,17873.6,161679423
10-Nov-21,17973.45,18061.25,17915,18017.2,161679423
09-Nov-21,18084.35,18112.6,17983.05,18044.25,161679423
08-Nov-21,18040.2,18087.8,17836.1,18068.55,161679423
04-Nov-21,17935.05,17947.55,17900.6,17916.8,161679423
03-Nov-21,17947.95,17988.75,17757.95,17829.2,161679423
02-Nov-21,17970.9,18012.25,17847.6,17888.95,161679423
01-Nov-21,17783.15,17954.1,17697.1,17929.65,161679423
29-Oct-21,17833.05,17915.85,17613.1,17671.65,161679423
28-Oct-21,18187.65,18190.7,17799.45,17857.25,161679423
27-Oct-21,18295.85,18342.05,18167.9,18210.95,161679423
26-Oct-21,18154.5,18310.45,18099.3,18268.4,161679423
25-Oct-21,18229.5,18241.4,17968.5,18125.4,161679423
22-Oct-21,18230.7,18314.25,18034.35,18114.9,161679423
21-Oct-21,18382.7,18384.2,18048,18178.1,161679423
20-Oct-21,18439.9,18458.3,18209.35,18266.6,161679423
19-Oct-21,18602.35,18604.45,18377.7,18418.75,161679423
